person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,decile_score,priors_count,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_recid
7,Male,Other,44,0,0,0,1,0,(M1),Battery,,,,,,,0,0
18,Male,African-American,41,0,0,0,4,0,(F3),Poss3;4 Methylenedioxymethcath,,,,,,,0,0
27,Male,Caucasian,27,0,0,0,2,0,(M1),Possession Of Methamphetamine,1,(M2),Operating W/O Valid License,,,,1,0
41,Male,Caucasian,30,0,0,0,9,9,(F3),Felony Battery w/Prior Convict,1,(F3),Grand Theft (Motor Vehicle),,,,1,0
47,Male,African-American,32,0,0,0,10,15,(F3),Felony Petit Theft,,,,,,,0,0
59,Male,Caucasian,29,0,0,0,2,2,(M1),Viol Injunct Domestic Violence,1,(M1),Viol Pretrial Release Dom Viol,,,,1,0
70,Male,African-American,29,0,0,0,4,0,(F3),Tampering With Physical Evidence,,,,,,,0,0
76,Male,Caucasian,33,0,0,0,9,1,(F3),Grand Theft Dwell Property,,,,,,,0,0
79,Male,African-American,31,0,0,1,5,15,(F2),Attempt Armed Burglary Dwell,1,(M2),Operating W/O Valid License,,,,1,0
111,Male,African-American,40,0,0,0,2,2,(F3),arrest case no charge,,,,,,,0,0
114,Male,Caucasian,22,0,0,0,8,0,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
116,Male,Caucasian,27,0,0,0,7,1,(F7),Burglary Dwelling Assault/Batt,1,(M1),Felony Battery w/Prior Convict,,(M1),Felony Battery w/Prior Convict,1,1
122,Male,African-American,30,0,0,0,10,8,(M1),Possess Cannabis/20 Grams Or Less,2,(M1),Possess Cannabis/20 Grams Or Less,,(F3),Battery on a Person Over 65,1,1
128,Male,African-American,25,1,6,1,10,14,(F2),arrest case no charge,5,(M1),Resist/Obstruct W/O Violence,,(M1),Battery,1,1
133,Male,African-American,54,0,0,0,6,6,(F1),arrest case no charge,,,,,,,0,0
137,Male,African-American,36,0,0,0,7,9,(F2),Deliver Cocaine,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
144,Male,African-American,34,0,0,0,3,3,(M1),Battery,,,,,,,0,0
152,Male,African-American,24,0,0,0,2,1,(F2),arrest case no charge,,,,,,,0,0
158,Male,Caucasian,31,0,0,0,5,0,(M1),Battery,,,,,,,0,0
164,Male,African-American,21,1,0,1,9,2,(F3),Tampering With Physical Evidence,,,,,,,0,0
170,Male,African-American,27,0,0,0,9,3,(F3),Robbery / No Weapon,,,,,,,0,0
180,Male,African-American,31,0,0,0,7,1,(M1),Battery,,,,,,,0,0
184,Male,African-American,27,0,0,0,9,3,(F3),Possession of Cocaine,3,(F3),Felony Driving While Lic Suspd,,,,1,0
204,Male,African-American,37,0,0,0,8,13,(F3),arrest case no charge,,,,,,,0,0
217,Male,African-American,28,0,0,0,10,15,(F2),Poss of Firearm by Convic Felo,,,,,,,0,0
221,Male,African-American,42,0,0,0,1,2,(F2),arrest case no charge,,,,,,,0,0
232,Female,Caucasian,26,0,0,0,6,0,(M2),Fail To Obey Police Officer,,,,,,,0,0
250,Male,Caucasian,41,0,0,0,10,5,(F3),Felony Petit Theft,,,,,,,0,0
278,Male,African-American,23,0,0,0,2,0,(M1),Battery,1,(M1),Extradition/Defendants,,,,1,0
295,Male,African-American,38,0,0,0,10,14,(F3),Possession of Oxycodone,,,,,,,0,0
302,Female,African-American,35,0,1,0,9,23,(F3),Felony Petit Theft,3,(F3),Felony Petit Theft,,,,1,0
317,Female,African-American,28,0,0,0,9,1,(F1),arrest case no charge,,,,,,,0,0
322,Male,African-American,45,0,0,0,6,3,(F3),arrest case no charge,,,,,,,0,0
332,Female,African-American,30,0,0,0,7,2,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
335,Male,African-American,37,0,0,0,1,0,(M1),Battery,1,(M1),Battery,,(M1),Battery,1,1
359,Male,African-American,32,0,1,0,9,14,(F2),Aggravated Battery / Pregnant,,,,,,,0,0
377,Female,Caucasian,24,0,0,0,7,1,(M1),Battery,1,(M1),Battery,,(M1),Battery,1,1
380,Male,African-American,47,0,0,0,1,0,(M1),Battery,,,,,,,0,0
390,Male,African-American,27,0,0,0,4,4,(F3),arrest case no charge,,,,,,,0,0
393,Female,African-American,37,0,0,0,1,2,(F3),arrest case no charge,,,,,,,0,0
397,Male,African-American,46,1,0,0,8,5,(M1),Battery,,,,,,,0,0
423,Male,Caucasian,37,0,0,0,1,3,(F3),arrest case no charge,,,,,,,0,0
428,Male,Caucasian,46,0,0,0,4,3,(F3),arrest case no charge,,,,,,,0,0
433,Female,Caucasian,34,0,0,0,8,0,(F3),Poss Unlaw Issue Id,,,,,,,0,0
437,Male,Caucasian,23,0,0,0,5,0,(F3),Aggravated Assault W/Dead Weap,1,(M2),Leave Acc/Attend Veh/More $50,,,,1,0
455,Male,Other,57,0,0,0,1,6,(M1),Battery,,,,,,,0,0
468,Male,African-American,27,0,0,0,2,0,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
480,Male,African-American,20,0,0,0,9,0,(F3),Grand Theft in the 3rd Degree,1,(MO3),Enter City Park/ Prohibited Hrs,,,,1,0
488,Male,Caucasian,36,0,0,0,1,0,(M1),Driving Under The Influence,,,,,,,0,0
489,Male,Caucasian,28,0,0,0,3,2,(M1),Battery,1,(M2),Driving License Suspended,,(M1),Battery,1,1
515,Male,African-American,37,0,0,0,2,4,(M1),Battery,,,,,,,0,0
516,Male,African-American,32,0,1,0,9,12,(F3),arrest case no charge,1,(M2),Driving License Suspended,,(F2),Robbery / No Weapon,1,1
517,Male,African-American,23,0,0,1,6,1,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
535,Male,Caucasian,28,0,0,0,2,0,(F3),Possession Of Heroin,,,,,,,0,0
554,Male,Caucasian,29,0,0,0,8,2,(M2),Burglary Unoccupied Dwelling,,,,,,,0,0
584,Male,African-American,35,0,0,0,5,2,(F3),Possession of Cannabis,,,,,,,0,0
585,Male,African-American,36,0,0,0,7,8,(F3),Possession of Ethylone,,,,,,,0,0
587,Male,African-American,60,0,0,0,1,1,(F1),arrest case no charge,,,,,,,0,0
605,Male,African-American,26,0,0,2,7,6,(F2),Poss Cocaine/Intent To Del/Sel,,,,,,,0,0
607,Male,Caucasian,65,0,0,0,1,0,(M1),Battery,,,,,,,0,0
617,Male,Other,60,0,0,0,1,4,(F3),arrest case no charge,,,,,,,0,0
626,Female,Caucasian,47,0,0,0,1,1,(F3),arrest case no charge,,,,,,,0,0
628,Male,Caucasian,25,0,0,0,2,0,(M1),Driving Under The Influence,2,(M2),Susp Drivers Lic 1st Offense,,,,1,0
636,Male,African-American,22,0,0,0,5,2,(F2),Robbery / No Weapon,,,,,,,0,0
674,Male,African-American,24,0,0,0,2,1,(M1),Battery,1,(M1),Battery,,(M1),Battery,1,1
676,Male,Caucasian,34,0,0,0,6,9,(F3),Aggravated Assault W/Dead Weap,,,,,,,0,0
678,Female,African-American,50,0,0,0,2,3,(F3),Aggravated Assault W/Dead Weap,,,,,,,0,0
686,Male,Caucasian,41,0,0,0,1,0,(M1),Battery,1,(M2),Petit Theft,,,,1,0
696,Female,Other,34,0,0,0,7,4,(F2),arrest case no charge,3,(F3),Possession of Cocaine,,,,1,0
699,Male,Caucasian,59,0,0,0,1,0,(M2),Lve/Scen/Acc/Veh/Prop/Damage,,,,,,,0,0
709,Male,African-American,35,0,0,1,7,8,(F3),Felony Battery w/Prior Convict,1,(M1),Viol Pretrial Release Dom Viol,,,,1,0
711,Female,African-American,24,1,0,0,9,6,(F2),arrest case no charge,2,(M1),Unlaw Use False Name/Identity,,,,1,0
739,Male,African-American,26,0,0,0,9,2,(M2),arrest case no charge,,,,,,,0,0
742,Male,Caucasian,33,0,0,0,9,0,(F3),Possession of Cocaine,,,,,,,0,0
774,Male,African-American,26,0,0,0,7,1,(F3),Tampering With Physical Evidence,,,,,,,0,0
777,Male,Caucasian,39,0,0,0,1,4,(F2),arrest case no charge,,,,,,,0,0
779,Female,African-American,35,0,0,0,2,12,(M2),Susp Drivers Lic 1st Offense,,,,,,,0,0
808,Male,Caucasian,27,0,1,3,4,6,(F3),Felony Battery (Dom Strang),1,(F3),Grand Theft in the 3rd Degree,,,,1,0
