person_id,sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_recid
12,Female,Caucasian,(F3),Possession Of Alprazolam,,,,,,,0,0
38,Female,Caucasian,(F3),arrest case no charge,,,,,,,0,0
50,Male,Other,(F3),Agg Fleeing and Eluding,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
62,Male,Caucasian,(F3),Possession of Cocaine,,,,,,,0,0
68,Male,Caucasian,(M1),DUI Level 0.15 Or Minor In Veh,,,,,,,0,0
71,Male,Caucasian,(F3),Possession of Oxycodone,2,(M1),Driving Under The Influence,,,,1,0
75,Male,Caucasian,(F3),arrest case no charge,1,(M2),Trespass Struct/Conveyance,,,,1,0
76,Male,Caucasian,(F3),Grand Theft Dwell Property,,,,,,,0,0
89,Male,African-American,(F2),Agg Battery Grt/Bod/Harm,,,,,,,0,0
106,Male,African-American,(M1),Battery,,,,,,,0,0
112,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
118,Male,Caucasian,(M1),Driving Under The Influence,,,,,,,0,0
122,Male,African-American,(M1),Possess Cannabis/20 Grams Or Less,2,(M1),Possess Cannabis/20 Grams Or Less,,(F3),Battery on a Person Over 65,1,1
144,Male,African-American,(M1),Battery,,,,,,,0,0
153,Male,African-American,(F3),Fail To Redeliv Hire/Leas Prop,,,,,,,0,0
161,Male,Caucasian,(F3),Felony Driving While Lic Suspd,,,,,,,0,0
174,Male,African-American,(F3),Poss3;4 Methylenedioxymethcath,,,,,,,0,0
181,Male,African-American,(F3),Felony Driving While Lic Suspd,,,,,,,0,0
182,Female,Other,(F3),Crim Use of Personal ID Info,,,,,,,0,0
188,Male,Asian,(MO3),Failure To Pay Taxi Cab Charge,,,,,,,0,0
189,Male,Caucasian,(M1),Battery,,,,,,,0,0
191,Male,Caucasian,(F3),Obstruct Officer W/Violence,,,,,,,0,0
207,Female,Caucasian,(F3),Uttering a Forged Instrument,,,,,,,0,0
222,Female,Caucasian,(M1),DUI Level 0.15 Or Minor In Veh,,,,,,,0,0
244,Female,Caucasian,(F3),Possession Of Carisoprodol,1,(F3),Fraudulent Use of Credit Card,,,,1,0
263,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
275,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,1,(M2),Operating W/O Valid License,,,,1,0
282,Male,Caucasian,(M1),Viol Injunct Domestic Violence,1,(M1),Viol Injunct Domestic Violence,,,,1,0
297,Female,African-American,(M1),Battery,,,,,,,0,0
311,Male,Caucasian,(F3),arrest case no charge,1,(M1),Battery,,(M1),Battery,1,1
318,Male,African-American,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
324,Female,Other,(F3),arrest case no charge,,,,,,,0,0
330,Male,African-American,(F3),Aggravated Battery (Firearm/Actual Possession),,,,,,,0,0
336,Male,Other,(F3),Aggravated Assault w/Firearm,2,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
337,Male,African-American,(F3),Grand Theft (Motor Vehicle),,,,,,,0,0
344,Male,African-American,(M1),Battery,,,,,,,0,0
361,Male,Caucasian,(M1),Battery,,,,,,,0,0
369,Female,Other,(M1),Battery,,,,,,,0,0
370,Female,Caucasian,(F3),Poss Contr Subst W/o Prescript,,,,,,,0,0
379,Female,Hispanic,(M1),Battery,,,,,,,0,0
396,Male,African-American,(F3),Possession Burglary Tools,,,,,,,0,0
400,Female,African-American,(F3),Carrying Concealed Firearm,1,(M2),Operating W/O Valid License,,,,1,0
402,Female,African-American,(F3),Aggravated Assault W/Dead Weap,,,,,,,0,0
416,Male,African-American,(F3),Possession of Cocaine,3,(F3),Possession of Cocaine,,,,1,0
432,Male,Caucasian,(M1),Battery,,,,,,,0,0
435,Male,African-American,(M2),Driving License Suspended,,,,,,,0,0
438,Male,African-American,(F3),Possession of Oxycodone,2,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
459,Female,African-American,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
468,Male,African-American,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
500,Female,African-American,(F3),Robbery Sudd Snatch No Weapon,1,(M2),Mandatory Susp Possess Alcohol,,,,1,0
510,Male,Hispanic,(M2),Assault,,,,,,,0,0
526,Female,Caucasian,(F3),Possession of Cocaine,,,,,,,0,0
530,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,0
596,Male,Asian,(F3),Poss Pyrrolidinovalerophenone,,,,,,,0,0
597,Male,African-American,(F3),Driving While License Revoked,2,(M1),Resist/Obstruct W/O Violence,,,,1,0
609,Male,Caucasian,(F3),Aggravated Assault W/dead Weap,,,,,,,0,0
623,Male,Caucasian,(M1),Battery,,,,,,,0,0
639,Male,Other,(F3),arrest case no charge,,,,,,,0,0
648,Male,African-American,(F3),Felony Petit Theft,2,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
658,Male,Caucasian,(M1),Battery,,,,,,,0,0
680,Male,African-American,(F3),Possession of Cannabis,,,,,,,0,0
687,Male,Other,(F3),Possession of Cocaine,3,(F3),Possession Of Alprazolam,,(M2),Assault,1,1
689,Female,African-American,(F3),Possession of Cocaine,,,,,,,0,0
