person_id,sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_recid
7,Male,Other,(M1),Battery,,,,,,,0,0
18,Male,African-American,(F3),Poss3;4 Methylenedioxymethcath,,,,,,,0,0
27,Male,Caucasian,(M1),Possession Of Methamphetamine,1,(M2),Operating W/O Valid License,,,,1,0
41,Male,Caucasian,(F3),Felony Battery w/Prior Convict,1,(F3),Grand Theft (Motor Vehicle),,,,1,0
47,Male,African-American,(F3),Felony Petit Theft,,,,,,,0,0
59,Male,Caucasian,(M1),Viol Injunct Domestic Violence,1,(M1),Viol Pretrial Release Dom Viol,,,,1,0
70,Male,African-American,(F3),Tampering With Physical Evidence,,,,,,,0,0
76,Male,Caucasian,(F3),Grand Theft Dwell Property,,,,,,,0,0
79,Male,African-American,(F2),Attempt Armed Burglary Dwell,1,(M2),Operating W/O Valid License,,,,1,0
111,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
114,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
116,Male,Caucasian,(F7),Burglary Dwelling Assault/Batt,1,(M1),Felony Battery w/Prior Convict,,(M1),Felony Battery w/Prior Convict,1,1
122,Male,African-American,(M1),Possess Cannabis/20 Grams Or Less,2,(M1),Possess Cannabis/20 Grams Or Less,,(F3),Battery on a Person Over 65,1,1
128,Male,African-American,(F2),arrest case no charge,5,(M1),Resist/Obstruct W/O Violence,,(M1),Battery,1,1
133,Male,African-American,(F1),arrest case no charge,,,,,,,0,0
137,Male,African-American,(F2),Deliver Cocaine,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
144,Male,African-American,(M1),Battery,,,,,,,0,0
152,Male,African-American,(F2),arrest case no charge,,,,,,,0,0
158,Male,Caucasian,(M1),Battery,,,,,,,0,0
164,Male,African-American,(F3),Tampering With Physical Evidence,,,,,,,0,0
170,Male,African-American,(F3),Robbery / No Weapon,,,,,,,0,0
180,Male,African-American,(M1),Battery,,,,,,,0,0
184,Male,African-American,(F3),Possession of Cocaine,3,(F3),Felony Driving While Lic Suspd,,,,1,0
204,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
217,Male,African-American,(F2),Poss of Firearm by Convic Felo,,,,,,,0,0
221,Male,African-American,(F2),arrest case no charge,,,,,,,0,0
