person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,decile_score,priors_count,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_recid
21,Male,Hispanic,37,0,0,0,1,0,(M1),Battery,,,,,,,0,0
50,Male,Other,49,0,0,0,3,7,(F3),Agg Fleeing and Eluding,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
53,Male,Caucasian,24,0,0,0,2,1,(M1),Battery,5,(F3),Possession of Cannabis,,,,1,0
54,Male,African-American,34,2,1,3,9,21,(F2),Poss Wep Conv Felon,1,(M1),Unlaw Use False Name/Identity,,,,1,0
60,Male,African-American,25,0,0,0,6,0,(F2),Burglary Unoccupied Dwelling,,,,,,,0,0
75,Male,Caucasian,48,0,0,0,6,20,(F3),arrest case no charge,1,(M2),Trespass Struct/Conveyance,,,,1,0
87,Male,African-American,35,0,0,0,3,5,(F3),Driving While License Revoked,,,,,,,0,0
115,Female,African-American,26,0,0,0,4,1,(F2),Poss Cocaine/Intent To Del/Sel,3,(M1),Resist/Obstruct W/O Violence,,(F3),Child Abuse,1,1
123,Male,African-American,66,0,0,0,9,0,(MO3),arrest case no charge,,,,,,,0,0
124,Male,African-American,52,0,0,0,5,3,(F3),Driving While License Revoked,,,,,,,0,0
150,Female,Hispanic,44,0,0,0,1,0,(M1),Battery,,,,,,,0,0
154,Female,Caucasian,39,0,0,0,1,0,(F3),Aggravated Assault W/Dead Weap,1,(M1),Battery,,(M1),Battery,1,1
166,Male,African-American,21,0,0,0,9,3,(F3),Grand Theft in the 3rd Degree,5,(M1),Resist/Obstruct W/O Violence,,,,1,0
177,Male,African-American,22,0,0,0,4,0,(F3),Uttering a Forged Instrument,2,(F3),Uttering a Forged Instrument,,,,1,0
183,Male,Caucasian,31,0,0,0,10,13,(F3),arrest case no charge,1,(F2),Burglary Unoccupied Dwelling,,(M1),Battery,1,1
188,Male,Asian,33,0,0,0,8,2,(MO3),Failure To Pay Taxi Cab Charge,,,,,,,0,0
191,Male,Caucasian,61,0,0,0,4,0,(F3),Obstruct Officer W/Violence,,,,,,,0,0
207,Female,Caucasian,25,0,0,0,3,0,(F3),Uttering a Forged Instrument,,,,,,,0,0
210,Male,African-American,32,0,0,0,7,3,(F3),Possession of Cocaine,5,(F3),Possession of Cocaine,,,,1,0
235,Male,Other,52,0,0,0,7,13,(F3),Felony Petit Theft,1,(M2),Petit Theft,,,,1,0
253,Male,African-American,31,0,0,0,1,0,(M1),Battery,,,,,,,0,0
257,Male,Hispanic,23,0,0,0,3,0,(F3),Poss3;4 Methylenedioxymethcath,,,,,,,0,0
262,Female,Caucasian,37,0,0,0,10,6,(F3),Possession of Cocaine,,,,,,,0,0
263,Male,Caucasian,55,0,0,0,1,1,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
272,Male,African-American,38,2,2,1,8,22,(F3),Child Abuse,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
285,Female,Other,52,0,0,0,3,0,,,1,(M2),Driving License Suspended,,,,1,0
291,Male,Caucasian,45,0,0,0,3,2,(F3),Lewd or Lascivious Molestation,,,,,,,0,0
314,Male,African-American,38,0,0,0,1,0,(F3),Driving While License Revoked,,,,,,,0,0
319,Male,Caucasian,56,0,0,0,1,7,(F3),Felony Driving While Lic Suspd,2,(M2),Driving License Suspended,,,,1,0
352,Male,Caucasian,47,0,0,0,2,1,(F2),arrest case no charge,,,,,,,0,0
357,Male,Caucasian,31,0,0,0,8,0,(F2),Burglary Unoccupied Dwelling,5,(F2),Wear Mask w/Commit Offense,,,,1,0
362,Male,African-American,28,0,0,0,8,25,(F3),arrest case no charge,2,(F3),Burglary Structure Unoccup,,,,1,0
364,Male,African-American,25,0,0,0,3,0,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
366,Male,Caucasian,22,0,0,1,8,1,(M1),Voyeurism,2,(F3),Grand Theft in the 3rd Degree,,,,1,0
367,Female,African-American,30,1,0,0,8,2,(F2),arrest case no charge,,,,,,,0,0
369,Female,Other,37,0,0,0,1,0,(M1),Battery,,,,,,,0,0
373,Male,Other,24,0,0,0,2,0,(M1),Battery,,,,,,,0,0
378,Male,African-American,27,0,0,0,2,3,(M1),Viol Prot Injunc Repeat Viol,1,(F3),Poss Pyrrolidinovalerophenone,,,,1,0
382,Female,Caucasian,23,0,0,4,5,5,(F2),arrest case no charge,2,(M1),Possess Drug Paraphernalia,,,,1,0
386,Male,African-American,30,0,0,0,6,2,(F3),Carrying Concealed Firearm,1,(F2),Poss Cocaine/Intent To Del/Sel,,,,1,0
