person_id,sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_recid
21,Male,Hispanic,(M1),Battery,,,,,,,0,0
50,Male,Other,(F3),Agg Fleeing and Eluding,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
53,Male,Caucasian,(M1),Battery,5,(F3),Possession of Cannabis,,,,1,0
54,Male,African-American,(F2),Poss Wep Conv Felon,1,(M1),Unlaw Use False Name/Identity,,,,1,0
60,Male,African-American,(F2),Burglary Unoccupied Dwelling,,,,,,,0,0
75,Male,Caucasian,(F3),arrest case no charge,1,(M2),Trespass Struct/Conveyance,,,,1,0
87,Male,African-American,(F3),Driving While License Revoked,,,,,,,0,0
115,Female,African-American,(F2),Poss Cocaine/Intent To Del/Sel,3,(M1),Resist/Obstruct W/O Violence,,(F3),Child Abuse,1,1
123,Male,African-American,(MO3),arrest case no charge,,,,,,,0,0
124,Male,African-American,(F3),Driving While License Revoked,,,,,,,0,0
150,Female,Hispanic,(M1),Battery,,,,,,,0,0
154,Female,Caucasian,(F3),Aggravated Assault W/Dead Weap,1,(M1),Battery,,(M1),Battery,1,1
166,Male,African-American,(F3),Grand Theft in the 3rd Degree,5,(M1),Resist/Obstruct W/O Violence,,,,1,0
177,Male,African-American,(F3),Uttering a Forged Instrument,2,(F3),Uttering a Forged Instrument,,,,1,0
183,Male,Caucasian,(F3),arrest case no charge,1,(F2),Burglary Unoccupied Dwelling,,(M1),Battery,1,1
188,Male,Asian,(MO3),Failure To Pay Taxi Cab Charge,,,,,,,0,0
191,Male,Caucasian,(F3),Obstruct Officer W/Violence,,,,,,,0,0
207,Female,Caucasian,(F3),Uttering a Forged Instrument,,,,,,,0,0
210,Male,African-American,(F3),Possession of Cocaine,5,(F3),Possession of Cocaine,,,,1,0
235,Male,Other,(F3),Felony Petit Theft,1,(M2),Petit Theft,,,,1,0
253,Male,African-American,(M1),Battery,,,,,,,0,0
257,Male,Hispanic,(F3),Poss3;4 Methylenedioxymethcath,,,,,,,0,0
262,Female,Caucasian,(F3),Possession of Cocaine,,,,,,,0,0
263,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
272,Male,African-American,(F3),Child Abuse,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
285,Female,Other,,,1,(M2),Driving License Suspended,,,,1,0
291,Male,Caucasian,(F3),Lewd or Lascivious Molestation,,,,,,,0,0
314,Male,African-American,(F3),Driving While License Revoked,,,,,,,0,0
319,Male,Caucasian,(F3),Felony Driving While Lic Suspd,2,(M2),Driving License Suspended,,,,1,0
352,Male,Caucasian,(F2),arrest case no charge,,,,,,,0,0
357,Male,Caucasian,(F2),Burglary Unoccupied Dwelling,5,(F2),Wear Mask w/Commit Offense,,,,1,0
362,Male,African-American,(F3),arrest case no charge,2,(F3),Burglary Structure Unoccup,,,,1,0
364,Male,African-American,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
366,Male,Caucasian,(M1),Voyeurism,2,(F3),Grand Theft in the 3rd Degree,,,,1,0
367,Female,African-American,(F2),arrest case no charge,,,,,,,0,0
369,Female,Other,(M1),Battery,,,,,,,0,0
373,Male,Other,(M1),Battery,,,,,,,0,0
378,Male,African-American,(M1),Viol Prot Injunc Repeat Viol,1,(F3),Poss Pyrrolidinovalerophenone,,,,1,0
382,Female,Caucasian,(F2),arrest case no charge,2,(M1),Possess Drug Paraphernalia,,,,1,0
386,Male,African-American,(F3),Carrying Concealed Firearm,1,(F2),Poss Cocaine/Intent To Del/Sel,,,,1,0
435,Male,African-American,(M2),Driving License Suspended,,,,,,,0,0
452,Male,Caucasian,(F3),False Imprisonment,,,,,,,0,0
459,Female,African-American,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
482,Male,African-American,(M1),arrest case no charge,,,,,,,0,0
486,Female,African-American,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
506,Male,African-American,(F2),arrest case no charge,,,,,,,0,0
512,Female,African-American,(F3),arrest case no charge,,,,,,,0,0
524,Male,Hispanic,(M1),Battery,,,,,,,0,0
549,Male,African-American,(M1),Battery,,,,,,,0,0
556,Male,African-American,(M1),Battery,,,,,,,0,0
567,Female,Caucasian,(M1),Battery,,,,,,,0,0
598,Male,African-American,(F3),arrest case no charge,2,(M2),Operating W/O Valid License,,,,1,0
609,Male,Caucasian,(F3),Aggravated Assault W/dead Weap,,,,,,,0,0
616,Male,African-American,(F3),Battery on Law Enforc Officer,,,,,,,0,0
629,Male,Hispanic,(M1),Battery,,,,,,,0,0
640,Male,African-American,(F3),Grand Theft (Motor Vehicle),1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
648,Male,African-American,(F3),Felony Petit Theft,2,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
653,Male,Caucasian,(F3),Poss3;4 Methylenedioxymethcath,1,(M2),Operating W/O Valid License,,,,1,0
667,Male,African-American,(F3),False Imprisonment,,,,,,,0,0
673,Male,Hispanic,(M1),arrest case no charge,2,(F2),Robbery / No Weapon,,(F3),Battery on a Person Over 65,1,1
675,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,0
681,Male,Caucasian,(M1),Battery,,,,,,,0,0
683,Male,Caucasian,(M1),Battery,,,,,,,0,0
705,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
710,Male,Caucasian,(F3),Possession of Cocaine,,,,,,,0,0
720,Male,Caucasian,(F3),Felony Battery (Dom Strang),,,,,,,0,0
729,Male,Caucasian,(F7),Burglary Dwelling Assault/Batt,1,(M2),Leave Acc/Attend Veh/More $50,,,,1,0
758,Female,Hispanic,(F3),Possession of Cocaine,5,(M2),Unlaw LicTag/Sticker Attach,,,,1,0
765,Male,African-American,(F3),Crimin Mischief Damage $1000+,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,0
769,Male,Caucasian,(F3),Possession of Cocaine,,,,,,,0,0
807,Male,Caucasian,(M1),Battery,,,,,,,0,0
820,Male,Hispanic,(F3),arrest case no charge,,,,,,,0,0
828,Female,Caucasian,(F3),Possession Of Heroin,,,,,,,0,0
835,Male,African-American,(F2),Aggrav Battery w/Deadly Weapon,1,(M2),Operating W/O Valid License,,,,1,0
863,Male,Caucasian,(F3),Neglect Child / No Bodily Harm,,,,,,,0,0
867,Male,African-American,(M2),Criminal Mischief Damage <$200,1,(M2),Operating W/O Valid License,,,,1,0
880,Male,Hispanic,(F3),Aggravated Assault,,,,,,,0,0
882,Male,Caucasian,(F3),Driving While License Revoked,12,(M2),Unlaw LicTag/Sticker Attach,,,,1,0
896,Female,Caucasian,(F3),Grand Theft in the 3rd Degree,,,,,,,0,0
911,Female,Hispanic,(M1),DUI Level 0.15 Or Minor In Veh,,,,,,,0,0
913,Male,African-American,(M1),Viol Pretrial Release Dom Viol,1,(M1),Resist/Obstruct W/O Violence,,,,1,0
917,Male,African-American,(F3),Possession of Cocaine,1,(F3),Poss Pyrrolidinovalerophenone,,(M1),Battery,1,1
919,Male,Hispanic,(M1),Petit Theft $100- $300,1,(F3),Grand Theft in the 3rd Degree,,,,1,0
920,Male,Other,(M1),Battery,,,,,,,0,0
921,Male,African-American,(M1),Possess Cannabis/20 Grams Or Less,,,,,,,0,0
924,Female,Caucasian,(M2),Driving Under The Influence,,,,,,,0,0
927,Male,Caucasian,(F3),Possession of Cocaine,,,,,,,0,0
931,Male,Hispanic,(F3),Possession of Cocaine,,,,,,,0,0
933,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,0
